strain	sample_id	site_id	gradient	date	PCR	genome	virus
C33_3	C0033	Casas	rural	2015-04-20	EAEC	EAEC	ecoli
C34_2	C0034	Casas	rural	2015-05-05	NA	NA	ecoli
C36_1	C0036	Casas	rural	2015-05-04	DAEC	DAEC	ecoli
C38_1	C0038	Casas	rural	2015-05-04	NA	NA	ecoli
C46_4	C0046	Casas	rural	2015-06-06	ETEC	ETEC	ecoli
C46_isolate	C0046	Casas	rural	2015-06-06	NA	NA	ecoli
C50_4	C0050	Casas	rural	2015-06-11	DAEC	DAEC	ecoli
C70_1	C0070	Casas	rural	2015-06-27	aEPEC	aEPEC	ecoli
C71_2	C0071	Casas	rural	2015-06-27	DAEC	DAEC	ecoli
C79_1	C0079	Casas	rural	2015-07-18	DAEC	DAEC	ecoli
C80_4	C0080	Casas	rural	2015-07-28	EAEC	EAEC	ecoli
C85_1	C0085	Casas	rural	2015-08-01	NA	NA	ecoli
C86_4	C0086	Casas	rural	2015-08-02	NA	NA	ecoli
C87_3	C0087	Casas	rural	2015-08-02	NA	NA	ecoli
C9_2	C0009	Casas	rural	2015-01-14	aEPEC	aEPEC	ecoli
E100_4	E0100	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E100_5	E0100	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E101_1	E0101	Esmeraldas	urban	2014-06-17	DAEC	DAEC	ecoli
E106_1	E0106	Esmeraldas	urban	2014-06-17	EAEC	EAEC	ecoli
E119_5	E0119	Esmeraldas	urban	2014-06-20	DAEC	DAEC	ecoli
E124_5	E0124	Esmeraldas	urban	2014-06-20	EAEC	EAEC	ecoli
E124_6	E0124	Esmeraldas	urban	2014-06-20	DAEC	DAEC	ecoli
E129_3	E0129	Esmeraldas	urban	2014-06-23	aEPEC	aEPEC	ecoli
E13	E0013	Esmeraldas	urban	2014-04-28	DAEC	DAEC	ecoli
E130_1	E0130	Esmeraldas	urban	2014-06-24	NA	NA	ecoli
E132_5	E0132	Esmeraldas	urban	2014-06-24	NA	NA	ecoli
E135_2	E0135	Esmeraldas	urban	2014-06-24	EAEC	EAEC	ecoli
E135_5	E0135	Esmeraldas	urban	2014-06-24	EAEC	EAEC	ecoli
E135_6	E0135	Esmeraldas	urban	2014-06-24	DAEC	DAEC	ecoli
E139_2	E0139	Esmeraldas	urban	2014-06-27	NA	NA	ecoli
E140	E0140	Esmeraldas	urban	2014-06-27	DAEC	DAEC	ecoli
E143_1	E0143	Esmeraldas	urban	2014-07-01	NA	NA	ecoli
E144	E0144	Esmeraldas	urban	2014-07-01	aEPEC	aEPEC	ecoli
E14_6	E0014	Esmeraldas	urban	2014-04-28	NA	NA	ecoli
E158	E0158	Esmeraldas	urban	2014-07-10	DAEC	DAEC	ecoli
E162	E0162	Esmeraldas	urban	2014-07-14	aEPEC	aEPEC	ecoli
E166	E0166	Esmeraldas	urban	2014-07-15	DAEC	DAEC	ecoli
E167_5	E0167	Esmeraldas	urban	2014-07-16	DAEC	DAEC	ecoli
E16_6	E0016	Esmeraldas	urban	2014-04-29	DAEC	DAEC	ecoli
E170	E0170	Esmeraldas	urban	2014-07-16	DAEC	DAEC	ecoli
E173	E0173	Esmeraldas	urban	2014-07-17	DAEC	DAEC	ecoli
E175_4	E0175	Esmeraldas	urban	2014-07-18	EAEC	EAEC	ecoli
E175_5	E0175	Esmeraldas	urban	2014-07-18	NA	NA	ecoli
E177_6	E0177	Esmeraldas	urban	2014-07-18	DAEC	DAEC	ecoli
E179_6	E0179	Esmeraldas	urban	2014-07-21	NA	NA	ecoli
E184_3	E0184	Esmeraldas	urban	2014-07-21	NA	NA	ecoli
E187_2	E0187	Esmeraldas	urban	2014-07-22	tEPEC	tEPEC	ecoli
E188_2	E0188	Esmeraldas	urban	2014-07-22	NA	NA	ecoli
E192	E0192	Esmeraldas	urban	2014-07-23	DAEC	DAEC	ecoli
E195_3	E0195	Esmeraldas	urban	2014-07-24	NA	NA	ecoli
E195_5	E0195	Esmeraldas	urban	2014-07-24	aEPEC	aEPEC	ecoli
E197_5	E0197	Esmeraldas	urban	2014-07-30	DAEC	DAEC	ecoli
E205	E0205	Esmeraldas	urban	2014-07-31	NA	NA	ecoli
E20_1	E0020	Esmeraldas	urban	2014-05-01	EAEC	EAEC	ecoli
E212_4	E0212	Esmeraldas	urban	2014-08-08	DAEC	DAEC	ecoli
E215_4	E0215	Esmeraldas	urban	2014-08-13	NA	NA	ecoli
E218	E0218	Esmeraldas	urban	2014-08-13	DAEC	DAEC	ecoli
E21_3	E0021	Esmeraldas	urban	2014-04-30	NA	NA	ecoli
E228_3	E0228	Esmeraldas	urban	2014-08-19	EAEC	EAEC	ecoli
E230_4	E0230	Esmeraldas	urban	2014-08-22	DAEC	DAEC	ecoli
E236_4	E0236	Esmeraldas	urban	2014-08-29	EAEC	EAEC	ecoli
E238_3	E0238	Esmeraldas	urban	2014-09-04	EAEC	EAEC	ecoli
E238_5	E0238	Esmeraldas	urban	2014-09-04	DAEC	DAEC	ecoli
E240_5	E0240	Esmeraldas	urban	2014-09-05	aEPEC	aEPEC	ecoli
E26	E0026	Esmeraldas	urban	2014-05-09	DAEC	DAEC	ecoli
E27	E0027	Esmeraldas	urban	2014-05-14	DAEC	DAEC	ecoli
E28	E0028	Esmeraldas	urban	2014-05-14	DAEC	DAEC	ecoli
E29_1	E0029	Esmeraldas	urban	2014-05-15	ETEC	ETEC	ecoli
E33_4	E0033	Esmeraldas	urban	2014-05-16	aEPEC	aEPEC	ecoli
E34	E0034	Esmeraldas	urban	2014-05-16	DAEC	DAEC	ecoli
E34L_M	E0034	Esmeraldas	urban	2014-05-16	NA	NA	ecoli
E43	E0043	Esmeraldas	urban	2014-05-28	DAEC	DAEC	ecoli
E44_6	E0044	Esmeraldas	urban	2014-05-28	DAEC	DAEC	ecoli
E55_5	E0055	Esmeraldas	urban	2014-06-02	ETEC	ETEC	ecoli
E55_6	E0055	Esmeraldas	urban	2014-06-02	DAEC	DAEC	ecoli
E57	E0057	Esmeraldas	urban	2014-06-02	DAEC	DAEC	ecoli
E58_3	E0058	Esmeraldas	urban	2014-06-02	DAEC	DAEC	ecoli
E5_5	E0005	Esmeraldas	urban	2014-04-22	aEPEC	aEPEC	ecoli
E61_3	E0061	Esmeraldas	urban	2014-06-03	NA	NA	ecoli
E67_5	E0067	Esmeraldas	urban	2014-06-04	DAEC	DAEC	ecoli
E70_3	E0070	Esmeraldas	urban	2014-06-05	EAEC	EAEC	ecoli
E71	E0071	Esmeraldas	urban	2014-06-09	aEPEC	aEPEC	ecoli
E71_6	E0071	Esmeraldas	urban	2014-06-09	NA	NA	ecoli
E72	E0072	Esmeraldas	urban	2014-06-05	DAEC	DAEC	ecoli
